Date;Time of day;Total[MWh]
Jan 2, 2020;9:00 AM;14,581
Jan 2, 2020;9:15 AM;14,684
Jan 2, 2020;9:30 AM;14,743
Jan 2, 2020;9:45 AM;14,773
Jan 2, 2020;10:00 AM;14,863
Jan 2, 2020;10:15 AM;14,806
Jan 2, 2020;10:30 AM;14,919
Jan 2, 2020;10:45 AM;15,001
Jan 2, 2020;11:00 AM;14,956
Jan 2, 2020;11:15 AM;15,019
Jan 2, 2020;11:30 AM;15,048
Jan 2, 2020;11:45 AM;15,147
Jan 2, 2020;12:00 PM;15,216
Jan 2, 2020;12:15 PM;15,219
Jan 2, 2020;12:30 PM;15,226
Jan 2, 2020;12:45 PM;15,126
Jan 2, 2020;1:00 PM;15,132
Jan 2, 2020;1:15 PM;15,116
Jan 2, 2020;1:30 PM;15,063
Jan 2, 2020;1:45 PM;14,962
Jan 2, 2020;2:00 PM;14,896
Jan 2, 2020;2:15 PM;14,881
Jan 2, 2020;2:30 PM;14,889
Jan 2, 2020;2:45 PM;14,817
Jan 2, 2020;3:00 PM;14,894
Jan 2, 2020;3:15 PM;14,835
Jan 2, 2020;3:30 PM;14,726
Jan 2, 2020;3:45 PM;14,718
Jan 2, 2020;4:00 PM;14,743
Jan 2, 2020;4:15 PM;14,887
Jan 2, 2020;4:30 PM;15,115
Jan 2, 2020;4:45 PM;15,347
Jan 2, 2020;5:00 PM;15,556
Jan 2, 2020;5:15 PM;15,599
Jan 2, 2020;5:30 PM;15,683
Jan 2, 2020;5:45 PM;15,761
Jan 2, 2020;6:00 PM;15,775
Jan 2, 2020;6:15 PM;15,748
Jan 2, 2020;6:30 PM;15,689
Jan 2, 2020;6:45 PM;15,711
Jan 2, 2020;7:00 PM;15,669
Jan 2, 2020;7:15 PM;15,573
Jan 2, 2020;7:30 PM;15,409
Jan 2, 2020;7:45 PM;15,282
Jan 2, 2020;8:00 PM;15,015
Jan 2, 2020;8:15 PM;14,667
