"","country","t","date","actual","fct","dif","index","index_pc"
"1","AT",0,2020-03-15,1.3176018,1.38071330278532,-4.78987678867203,100,0
"2","AT",1,2020-03-16,1.554849,1.6591820906367,-6.71017511261252,94.4917646250473,-5.50823537495269
"3","AT",2,2020-03-17,1.557792,1.67658958354537,-7.62602347074385,93.9310274841277,-6.06897251587232
"4","AT",3,2020-03-18,1.4988582,1.67158157618155,-11.5236635581373,92.8152665704037,-7.18473342959629
"5","AT",4,2020-03-19,1.4719185,1.65435609130533,-12.3945443518325,92.0247520826754,-7.97524791732457
"6","AT",5,2020-03-20,1.4147577,1.6131296634688,-14.0216210499366,91.3026714460033,-8.69732855399666
"7","AT",6,2020-03-21,1.360674,1.4652370308514,-7.68464972884009,91.508353319113,-8.49164668088699
"8","AT",7,2020-03-22,1.2858876,1.39437274174341,-8.43659599356941,91.5876176932875,-8.41238230671253
"9","AT",8,2020-03-23,1.5327999,1.72833529690556,-12.7567464550046,91.2355888140075,-8.76441118599247
"10","AT",9,2020-03-24,1.5576939,1.73900246556343,-11.6395503354947,91.0547958264851,-8.94520417351491
"11","AT",10,2020-03-25,1.5786045,1.77890453556618,-12.6884242105086,90.8229819905387,-9.17701800946126
"12","AT",11,2020-03-26,1.5804855,1.70588907198364,-7.93449683553816,90.9829743153725,-9.01702568462747
"13","AT",12,2020-03-27,1.452294,1.59500874745841,-9.82684962262559,90.9882330043874,-9.01176699561258
"14","AT",13,2020-03-28,1.2609603,1.3898429182405,-10.2209893713943,90.9720509744529,-9.02794902554707
"15","AT",14,2020-03-29,1.1788929,1.29571466140457,-9.90944651584308,90.9727023920755,-9.02729760792452
"16","AT",15,2020-03-30,1.5096933,1.66312453410615,-10.1630731292345,90.9597314942089,-9.04026850579115
"17","AT",16,2020-03-31,1.5325263,1.69288471963649,-10.4636651022882,90.9327349961098,-9.06726500389024
"18","AT",17,2020-04-01,1.502532,1.67456550388343,-11.4495733790314,90.8625567104986,-9.13744328950145
"19","AT",18,2020-04-02,1.4702112,1.61491081527654,-9.84209719505165,90.8719730633626,-9.12802693663743
"20","AT",19,2020-04-03,1.4278608,1.56405719184543,-9.53849225676834,90.8925353412946,-9.10746465870537
"21","AT",20,2020-04-04,1.2523986,1.3731404714499,-9.64085008158748,90.9054856604658,-9.09451433953419
"22","AT",21,2020-04-05,1.1658339,1.24750460762998,-7.00534678481867,90.9974046089999,-9.00259539100007
"23","AT",22,2020-04-06,1.3793796,1.52487879742286,-10.548162189934,90.974634906089,-9.02536509391102
"24","AT",23,2020-04-07,1.3764933,1.55109740901835,-12.6847046054164,90.8827140398081,-9.11728596019195
"25","AT",24,2020-04-08,1.3595202,1.55153344112723,-14.1236033953176,90.7537642070465,-9.24623579295347
"26","AT",25,2020-04-09,1.3460436,1.53614619803421,-14.1230639211248,90.6357846078912,-9.36421539210876
"27","AT",26,2020-04-10,1.2661371,1.3230685004551,-4.49646412344305,90.794976208322,-9.20502379167799
"28","AT",27,2020-04-11,1.1097288,1.31610444694436,-18.5969443114718,90.5985119445171,-9.40148805548289
"29","AT",28,2020-04-12,1.0214226,1.05532814611063,-3.31944350072444,90.7454889515274,-9.25451104847261
"30","AT",29,2020-04-13,1.0796742,1.30637289174517,-20.9969536870628,90.5141940091848,-9.48580599081515
"31","AT",30,2020-04-14,1.3660434,1.59122964388807,-16.4845599991972,90.3573393390131,-9.64266066098695
"32","AT",31,2020-04-15,1.3918842,1.5432898656474,-10.8777487126727,90.352037344728,-9.64796265527198
"33","AT",32,2020-04-16,1.3752279,1.5076540515931,-9.62939681438256,90.3779018136659,-9.62209818633413
"34","AT",33,2020-04-17,1.3229919,1.47241740250103,-11.2945137835714,90.3629606694492,-9.63703933055079
"35","AT",34,2020-04-18,1.1530062,1.28881161918462,-11.7783771834549,90.3411299749368,-9.65887002506319
"36","AT",35,2020-04-19,1.1250441,1.19403193612385,-6.13201172503826,90.4264118049603,-9.57358819503966
"37","AT",36,2020-04-20,1.3658211,1.48549253459463,-8.76186746526554,90.4667938911323,-9.53320610886766
"38","AT",37,2020-04-21,1.3877145,1.51231682060158,-8.97895933216677,90.5009248686838,-9.49907513131618
"39","AT",38,2020-04-22,1.3849416,1.51018192732935,-9.04300421976993,90.5318740726673,-9.46812592733271
"40","AT",39,2020-04-23,1.3801788,1.49866799084808,-8.58506092457577,90.5706609374194,-9.42933906258061
"41","AT",40,2020-04-24,1.3408245,1.45711950469175,-8.67339496643705,90.6048040436865,-9.39519595631354
"42","AT",41,2020-04-25,1.1620566,1.28001938108045,-10.1512078740786,90.6084461002555,-9.39155389974449
"43","AT",42,2020-04-26,1.0854045,1.18261465184568,-8.95612205824489,90.6300059437595,-9.36999405624049
"44","AT",43,2020-04-27,1.3593591,1.45404655496346,-6.96559540179337,90.6932383277733,-9.30676167222674
"45","AT",44,2020-04-28,1.3735602,1.47901094374116,-7.67718398808886,90.7411513157995,-9.25884868420049
"46","AT",45,2020-04-29,1.4327541,1.52545195156997,-6.46990656456447,90.8117827931784,-9.18821720682165
"47","AT",46,2020-04-30,1.3680009,1.48769949130054,-8.74989126838622,90.8359870829815,-9.16401291701852
"48","AT",47,2020-05-01,1.1160486,1.28404899095511,-15.0531429325845,90.7655922427566,-9.23440775724336
"49","AT",48,2020-05-02,1.1404179,1.28100873991186,-12.3280106276712,90.7349547369265,-9.2650452630735
"50","AT",49,2020-05-03,1.083771,1.18851451103236,-9.66472723779868,90.7422187249908,-9.25778127500919
"51","AT",50,2020-05-04,1.3442616,1.45124373720578,-7.95843139503389,90.7785111664083,-9.22148883359168
"52","AT",51,2020-05-05,1.3779162,1.50507795060514,-9.22855472670514,90.7936287722664,-9.20637122773356
"53","AT",52,2020-05-06,1.3713417,1.50845549509493,-9.998514235725,90.7958730608345,-9.20412693916548
"54","AT",53,2020-05-07,1.3682718,1.47697820707503,-7.94479628060951,90.8299579523846,-9.1700420476154
"55","AT",54,2020-05-08,1.3767543,1.44346837776378,-4.84575045553031,90.910660380893,-9.08933961910704
"56","AT",55,2020-05-09,1.2112218,1.263583533738,-4.32305080192601,90.9862999802143,-9.01370001978573
"57","AT",56,2020-05-10,1.0764765,1.16556528152803,-8.27596157724125,91.0053637975814,-8.99463620241859
"58","AT",57,2020-05-11,1.3628835,1.44433973692455,-5.9767571420848,91.0622214266804,-8.93777857331959
"59","AT",58,2020-05-12,1.3813722,1.52030435183458,-10.0575465348569,91.0587045583915,-8.94129544160847
"60","AT",59,2020-05-13,1.3892319,1.49794983661534,-7.82575872432388,91.0872826150689,-8.91271738493114
"61","AT",60,2020-05-14,1.3892769,1.49599114998657,-7.68128009517519,91.1169454871531,-8.88305451284687
"62","AT",61,2020-05-15,1.3808385,1.50199355679046,-8.77402077002197,91.1303910089086,-8.86960899109138
"63","AT",62,2020-05-16,1.157841,1.28781566069897,-11.2256053032297,91.1133688302491,-8.88663116975094
"64","AT",63,2020-05-17,1.0689219,1.17435699831627,-9.86368586107872,91.112222314686,-8.88777768531403
