"","date","actual","fct","low80","low95","up80","up95","dif","diflow80","diflow95","difup80","difup95","country","wday","lockdown"
"1",2020-03-01,0.63244,0.629065585416776,0.590851174335223,0.569635006438335,0.665184122951644,0.683566567586312,0.533554895835805,6.57593220934426,9.93058528266162,-5.17742757441716,-8.08401865573211,"AT","Sunday",2020-03-16
"2",2020-03-02,0.7606416,0.745393402274947,0.710540764065359,0.691414120511662,0.778756909307361,0.795878045767804,2.00464945975246,6.58665473130064,9.10119555495496,-2.3815827726699,-4.63246366854036,"AT","Monday",2020-03-16
"3",2020-03-03,0.7915976,0.777207310946265,0.743360752199127,0.724834518933759,0.809703166887071,0.82641170408293,1.81787931819591,6.09360713080395,8.43396708962238,-2.28721851696764,-4.39795472888374,"AT","Tuesday",2020-03-16
"4",2020-03-04,0.7869036,0.78159720986642,0.747927703686806,0.729505392883515,0.813937064196787,0.830570199725637,0.674338017208239,4.95307129274722,7.29418535084669,-3.43542261044262,-5.54916761413179,"AT","Wednesday",2020-03-16
"5",2020-03-05,0.7820008,0.765558404939132,0.731034733132621,0.712114189854665,0.798657342458977,0.815659872759117,2.10260591304609,6.5173931877536,8.93689752559529,-2.12999046279448,-4.30422484978496,"AT","Thursday",2020-03-16
"6",2020-03-06,0.7803812,0.756765796829548,0.721689243419214,0.702446091973213,0.79035616188139,0.807597967958756,3.02613686368296,7.52093420251356,9.98679978794811,-1.27821657946014,-3.48762476066264,"AT","Friday",2020-03-16
"7",2020-03-07,0.6775644,0.676582322944368,0.63715733517488,0.615314621549436,0.713928822647286,0.732963468268798,0.144942245435567,5.96357553984827,9.18728588021504,-5.36693230153268,-8.17620705408931,"AT","Saturday",2020-03-16
"8",2020-03-08,0.6156104,0.623777305290804,0.580771350611044,0.556727541071164,0.664124838880064,0.684564433729162,-1.32663536723935,5.65926913985795,9.56495519387528,-7.88070488738727,-11.2009208631242,"AT","Sunday",2020-03-16
"9",2020-03-09,0.7754464,0.749379125804233,0.71349844988178,0.693789585790346,0.783691457994863,0.801287546934373,3.3615829792706,7.98868240515653,10.5302976723671,-1.0632660097284,-3.3324220648098,"AT","Monday",2020-03-16
"10",2020-03-10,0.7862704,0.762276551998887,0.726853744920901,0.707418752654902,0.796194798462005,0.813603646063056,3.05160260402946,7.55677119208591,10.0285661707598,-1.26221188817544,-3.47631629819159,"AT","Tuesday",2020-03-16
"11",2020-03-11,0.7691148,0.739952565755438,0.70330751560567,0.683151702999318,0.774943265923377,0.792869508711789,3.79166208276867,8.55623690953936,11.1768876376689,-0.757814818200994,-3.08857776651662,"AT","Wednesday",2020-03-16
"12",2020-03-12,0.7445592,0.733733283326806,0.696622957472166,0.676193556363068,0.769134166359848,0.787259114237035,1.45400347926588,6.43820431307997,9.18202926468866,-3.30060609819184,-5.73492534066261,"AT","Thursday",2020-03-16
"13",2020-03-13,0.7452856,0.742715962042052,0.705904278639611,0.685656147155426,0.777864485191166,0.795871149980013,0.34478567115049,5.28405773040411,8.00088621658245,-4.37132894975649,-6.78740471840775,"AT","Friday",2020-03-16
"14",2020-03-14,0.640752,0.660947909333029,0.619369507335733,0.596243486148631,0.700169212953811,0.720106116061786,-3.15190734215881,3.33709339405377,6.94629339453776,-9.2730436976882,-12.3845288132984,"AT","Saturday",2020-03-16
"15",2020-03-15,0.5856008,0.615264646694448,0.570347295511549,0.545146381732656,0.657251867497746,0.678474278870442,-5.06554067112746,2.60476155231531,6.90819040331636,-12.2354797837956,-15.8595204908262,"AT","Sunday",2020-03-16
"16",2020-03-16,0.691044,0.727477975670261,0.689432163374195,0.668458050623199,0.763714324106271,0.782248021254536,-5.2723090961301,0.233246598741244,3.26838079439235,-10.5160198346663,-13.1980049395605,"AT","Monday",2020-03-16
"17",2020-03-17,0.692352,0.734730424793,0.69691103358215,0.676075918921448,0.770778210988063,0.789224503093042,-6.12093628573321,-0.65848492994176,2.35083903542595,-11.3275055157005,-13.9917994160546,"AT","Tuesday",2020-03-16
"18",2020-03-18,0.6661592,0.73194262549965,0.693827726785027,0.672819423986617,0.768252209550756,0.786825841569941,-9.87503069831509,-4.15344061675152,-0.999794641673797,-15.3256172924965,-18.1137844482131,"AT","Wednesday",2020-03-16
"19",2020-03-19,0.654186,0.725437109804821,0.686826893689527,0.6655253454236,0.762180028049386,0.78096251940769,-10.8915675060031,-4.98954329342531,-1.73335189435425,-16.5081533462022,-19.3792773626598,"AT","Thursday",2020-03-16
"20",2020-03-20,0.6287812,0.706855662000793,0.667067465097199,0.645060025236917,0.744614118583792,0.763880966700723,-12.4167933139211,-6.08896466643712,-2.58894910294986,-18.4218164575836,-21.4859742468006,"AT","Friday",2020-03-16
"21",2020-03-21,0.604744,0.644801913871412,0.600953620800455,0.57645873375126,0.685974621031525,0.706843229820429,-6.6239456483094,0.626774172136465,4.67722974494002,-13.4322326524158,-16.8830496574467,"AT","Saturday",2020-03-16
"22",2020-03-22,0.5715056,0.624391130027416,0.578898044940367,0.553377337355211,0.666922064062699,0.688421011177456,-9.2537203532942,-1.29350350029242,3.17201837476119,-16.695630639962,-20.4574392932381,"AT","Sunday",2020-03-16
"23",2020-03-23,0.6812444,0.756514848372295,0.718921092539104,0.698240583995333,0.792405855651793,0.810791466548509,-11.0489639800775,-5.53056913775785,-2.49487320487816,-16.3174120259621,-19.0162394800616,"AT","Monday",2020-03-16
