date,DE,AT,ES,IT
2015-01-01,99.7888505437457,99.0336414157615,99.1419232322199,99.0860432420145
2015-02-01,99.7311612912134,99.0008085934470,99.3423197455630,99.1276415854027
2015-03-01,99.6895537321866,98.9999512409108,99.5392678233843,99.1831279624921
2015-04-01,99.6662820478850,99.0245962294217,99.7289993738021,99.2467237379970
2015-05-01,99.6569536140818,99.0612498715215,99.9082914461396,99.3130017176798
2015-06-01,99.6557980901531,99.0956775039713,100.0745837434300,99.3788186920952
2015-07-01,99.6598639380044,99.1181126800313,100.2261629032580,99.4448418303820
2015-08-01,99.6688738655804,99.1242516771762,100.3617092373480,99.5132095348173
2015-09-01,99.6846624234293,99.1168974104601,100.4799770598990,99.5849636580280
2015-10-01,99.7102168000178,99.1085531260375,100.5796326647090,99.6571043744361
2015-11-01,99.7479740953921,99.1138026100789,100.6596042173540,99.7249220709138
2015-12-01,99.7973767091736,99.1415892911476,100.7196344606760,99.7841178518813
2016-01-01,99.8515061294398,99.1863353579308,100.7610534935810,99.8330577246465
2016-02-01,99.9006091547225,99.2368099548462,100.7863827964600,99.8723379862673
2016-03-01,99.9352423298364,99.2835532773238,100.7991520765380,99.9049179863472
2016-04-01,99.9497416927626,99.3256853143659,100.8038972148810,99.9367869306889
2016-05-01,99.9419712255292,99.3675865769596,100.8050380181660,99.9742710068944
2016-06-01,99.9144804527750,99.4157240997216,100.8058328432680,100.0212529877440
2016-07-01,99.8772210727016,99.4753167406710,100.8073490751190,100.0758543855130
2016-08-01,99.8437564837200,99.5492630743612,100.8097241022180,100.1342233958090
2016-09-01,99.8281914531118,99.6360712308010,100.8133729620390,100.1936570381140
2016-10-01,99.8418627498668,99.7265799045345,100.8201433248300,100.2553455819560
2016-11-01,99.8921730076977,99.8104517895039,100.8323646561820,100.3218104380610
2016-12-01,99.9793213669044,99.8822361164629,100.8518258451080,100.3940821373090
2017-01-01,100.0903636835670,99.9477446115451,100.8786486898070,100.4684421092620
2017-02-01,100.2086131021580,100.0171669191430,100.9114769725790,100.5395776941630
2017-03-01,100.3213150269190,100.0984957758770,100.9475315816920,100.6035189232630
2017-04-01,100.4268238652610,100.1905403721450,100.9825540629590,100.6607457388080
2017-05-01,100.5287007985230,100.2871818102710,101.0120626019860,100.7138978322140
2017-06-01,100.6303115226590,100.3807273640800,101.0325993625490,100.7659122591210
2017-07-01,100.7296800887890,100.4648165279020,101.0430348798310,100.8184098132920
2017-08-01,100.8210923859480,100.5351669009490,101.0435789848300,100.8709152965500
2017-09-01,100.8968811387200,100.5908941265080,101.0349255473830,100.9200130697210
2017-10-01,100.9498095138040,100.6367164716370,101.0175310053190,100.9584785592990
2017-11-01,100.9738901657460,100.6778975910190,100.9918107613320,100.9777656146670
2017-12-01,100.9668735805190,100.7158285244040,100.9584526570800,100.9712503816420
2018-01-01,100.9348213781350,100.7438829158160,100.9188419325130,100.9388381803390
2018-02-01,100.8858421501230,100.7528596304030,100.8746312809180,100.8834829693730
2018-03-01,100.8256852710450,100.7370680801050,100.8273993519720,100.8095629078020
2018-04-01,100.7546309002050,100.7017053224760,100.7783746678370,100.7229111705370
2018-05-01,100.6708455084600,100.6577353952460,100.7284786627380,100.6296460773050
2018-06-01,100.5745599047240,100.6181516727730,100.6783925203010,100.5359398939600
2018-07-01,100.4731856228040,100.5948577500530,100.6286346627700,100.4482872039030
2018-08-01,100.3766661832270,100.5961290972690,100.5794395303970,100.3725830695760
2018-09-01,100.2932864861610,100.6228995447190,100.5306312779660,100.3127977330030
2018-10-01,100.2252245367250,100.6632580527810,100.4814891186700,100.2688213310170
2018-11-01,100.1700003449520,100.6996194704940,100.4309046129620,100.2383454675440
2018-12-01,100.1208564581790,100.7148773510740,100.3775419930870,100.2176158051600
2019-01-01,100.0662530511150,100.6988188616660,100.3200176771190,100.2012269933800
2019-02-01,99.9948396220597,100.6462828605380,100.2571766599200,100.1834624463360
2019-03-01,99.9008307817718,100.5575389045090,100.1884266227990,100.1593336304730
2019-04-01,99.7905726543855,100.4412450776240,100.1141457894010,100.1257285932000
2019-05-01,99.6751289330696,100.3088695197640,100.0352644708520,100.0802643353430
2019-06-01,99.5640991638298,100.1711232359740,99.9529289617306,100.0208313738370
2019-07-01,99.4598878499949,100.0355930530400,99.8682342023515,99.9459994485235
2019-08-01,99.3612367443823,99.9072428284797,99.7821350900391,99.8553455114134
2019-09-01,99.2662614491428,99.7887712487071,99.6953923975519,99.7508906283424
2019-10-01,99.1750849223926,99.6804663532442,99.6085389991002,99.6396664924315
2019-11-01,99.0885808754467,99.5811955562753,99.5218893146033,99.5294290640729
2019-12-01,99.0068654950574,99.4886660847318,99.4355492987440,99.4248947069012
