date,time,value
"Jan 1, 2020",12:00 AM,1515
"Jan 1, 2020",12:15 AM,1500
"Jan 1, 2020",12:30 AM,1484
"Jan 1, 2020",12:45 AM,1468
"Jan 1, 2020",1:00 AM,1469
"Jan 1, 2020",1:15 AM,1451
"Jan 1, 2020",1:30 AM,1434
"Jan 1, 2020",1:45 AM,1415
"Jan 1, 2020",2:00 AM,1431
"Jan 1, 2020",2:15 AM,1413
"Jan 1, 2020",2:30 AM,1386
"Jan 1, 2020",2:45 AM,1364
"Jan 1, 2020",3:00 AM,1351
"Jan 1, 2020",3:15 AM,1336
"Jan 1, 2020",3:30 AM,1322
"Jan 1, 2020",3:45 AM,1311
"Jan 1, 2020",4:00 AM,1313
"Jan 1, 2020",4:15 AM,1311
"Jan 1, 2020",4:30 AM,1311
"Jan 1, 2020",4:45 AM,1314
"Jan 1, 2020",5:00 AM,1335
"Jan 1, 2020",5:15 AM,1342
"Jan 1, 2020",5:30 AM,1352
"Jan 1, 2020",5:45 AM,1352
"Jan 1, 2020",6:00 AM,1351
"Jan 1, 2020",6:15 AM,1362
"Jan 1, 2020",6:30 AM,1378
"Jan 1, 2020",6:45 AM,1396
"Jan 1, 2020",7:00 AM,1429
"Jan 1, 2020",7:15 AM,1454
"Jan 1, 2020",7:30 AM,1470
"Jan 1, 2020",7:45 AM,1481
"Jan 1, 2020",8:00 AM,1508
"Jan 1, 2020",8:15 AM,1530
"Jan 1, 2020",8:30 AM,1544
"Jan 1, 2020",8:45 AM,1562
"Jan 1, 2020",9:00 AM,1583
"Jan 1, 2020",9:15 AM,1595
"Jan 1, 2020",9:30 AM,1610
"Jan 1, 2020",9:45 AM,1622
"Jan 1, 2020",10:00 AM,1651
"Jan 1, 2020",10:15 AM,1662
"Jan 1, 2020",10:30 AM,1674
"Jan 1, 2020",10:45 AM,1671
"Jan 1, 2020",11:00 AM,1685
"Jan 1, 2020",11:15 AM,1688
"Jan 1, 2020",11:30 AM,1693
"Jan 1, 2020",11:45 AM,1680
"Jan 1, 2020",12:00 PM,1688
"Jan 1, 2020",12:15 PM,1684
"Jan 1, 2020",12:30 PM,1673
"Jan 1, 2020",12:45 PM,1656
"Jan 1, 2020",1:00 PM,1643
"Jan 1, 2020",1:15 PM,1636
"Jan 1, 2020",1:30 PM,1629
"Jan 1, 2020",1:45 PM,1626
"Jan 1, 2020",2:00 PM,1618
"Jan 1, 2020",2:15 PM,1614
"Jan 1, 2020",2:30 PM,1607
"Jan 1, 2020",2:45 PM,1613
"Jan 1, 2020",3:00 PM,1623
"Jan 1, 2020",3:15 PM,1624
"Jan 1, 2020",3:30 PM,1632
"Jan 1, 2020",3:45 PM,1653
"Jan 1, 2020",4:00 PM,1681
"Jan 1, 2020",4:15 PM,1706
"Jan 1, 2020",4:30 PM,1761
"Jan 1, 2020",4:45 PM,1795
"Jan 1, 2020",5:00 PM,1834
"Jan 1, 2020",5:15 PM,1847
"Jan 1, 2020",5:30 PM,1855
"Jan 1, 2020",5:45 PM,1863
"Jan 1, 2020",6:00 PM,1866
"Jan 1, 2020",6:15 PM,1860
"Jan 1, 2020",6:30 PM,1860
"Jan 1, 2020",6:45 PM,1843
"Jan 1, 2020",7:00 PM,1827
"Jan 1, 2020",7:15 PM,1827
"Jan 1, 2020",7:30 PM,1812
"Jan 1, 2020",7:45 PM,1793
"Jan 1, 2020",8:00 PM,1751
"Jan 1, 2020",8:15 PM,1738
"Jan 1, 2020",8:30 PM,1715
"Jan 1, 2020",8:45 PM,1697
"Jan 1, 2020",9:00 PM,1669
"Jan 1, 2020",9:15 PM,1643
"Jan 1, 2020",9:30 PM,1618
"Jan 1, 2020",9:45 PM,1609
"Jan 1, 2020",10:00 PM,1653
"Jan 1, 2020",10:15 PM,1641
"Jan 1, 2020",10:30 PM,1602
"Jan 1, 2020",10:45 PM,1577
"Jan 1, 2020",11:00 PM,1565
"Jan 1, 2020",11:15 PM,1535
"Jan 1, 2020",11:30 PM,1507
"Jan 1, 2020",11:45 PM,1491
"Jan 2, 2020",12:00 AM,1493
"Jan 2, 2020",12:15 AM,1460
"Jan 2, 2020",12:30 AM,1440
"Jan 2, 2020",12:45 AM,1416
"Jan 2, 2020",1:00 AM,1418
"Jan 2, 2020",1:15 AM,1398
"Jan 2, 2020",1:30 AM,1386
"Jan 2, 2020",1:45 AM,1372
"Jan 2, 2020",2:00 AM,1387
"Jan 2, 2020",2:15 AM,1377
"Jan 2, 2020",2:30 AM,1364
"Jan 2, 2020",2:45 AM,1353
"Jan 2, 2020",3:00 AM,1355
"Jan 2, 2020",3:15 AM,1350
