Date;Time of day;Total[MWh]
Jan 1, 2020;12:00 AM;1,515
Jan 1, 2020;12:15 AM;1,500
Jan 1, 2020;12:30 AM;1,484
Jan 1, 2020;12:45 AM;1,468
Jan 1, 2020;1:00 AM;1,469
Jan 1, 2020;1:15 AM;1,451
Jan 1, 2020;1:30 AM;1,434
Jan 1, 2020;1:45 AM;1,415
Jan 1, 2020;2:00 AM;1,431
Jan 1, 2020;2:15 AM;1,413
Jan 1, 2020;2:30 AM;1,386
Jan 1, 2020;2:45 AM;1,364
Jan 1, 2020;3:00 AM;1,351
Jan 1, 2020;3:15 AM;1,336
Jan 1, 2020;3:30 AM;1,322
Jan 1, 2020;3:45 AM;1,311
Jan 1, 2020;4:00 AM;1,313
Jan 1, 2020;4:15 AM;1,311
Jan 1, 2020;4:30 AM;1,311
Jan 1, 2020;4:45 AM;1,314
Jan 1, 2020;5:00 AM;1,335
Jan 1, 2020;5:15 AM;1,342
Jan 1, 2020;5:30 AM;1,352
Jan 1, 2020;5:45 AM;1,352
Jan 1, 2020;6:00 AM;1,351
Jan 1, 2020;6:15 AM;1,362
Jan 1, 2020;6:30 AM;1,378
Jan 1, 2020;6:45 AM;1,396
Jan 1, 2020;7:00 AM;1,429
Jan 1, 2020;7:15 AM;1,454
Jan 1, 2020;7:30 AM;1,470
Jan 1, 2020;7:45 AM;1,481
Jan 1, 2020;8:00 AM;1,508
Jan 1, 2020;8:15 AM;1,530
Jan 1, 2020;8:30 AM;1,544
Jan 1, 2020;8:45 AM;1,562
Jan 1, 2020;9:00 AM;1,583
Jan 1, 2020;9:15 AM;1,595
Jan 1, 2020;9:30 AM;1,610
Jan 1, 2020;9:45 AM;1,622
Jan 1, 2020;10:00 AM;1,651
Jan 1, 2020;10:15 AM;1,662
Jan 1, 2020;10:30 AM;1,674
Jan 1, 2020;10:45 AM;1,671
Jan 1, 2020;11:00 AM;1,685
Jan 1, 2020;11:15 AM;1,688
Jan 1, 2020;11:30 AM;1,693
Jan 1, 2020;11:45 AM;1,680
Jan 1, 2020;12:00 PM;1,688
Jan 1, 2020;12:15 PM;1,684
Jan 1, 2020;12:30 PM;1,673
Jan 1, 2020;12:45 PM;1,656
Jan 1, 2020;1:00 PM;1,643
Jan 1, 2020;1:15 PM;1,636
Jan 1, 2020;1:30 PM;1,629
Jan 1, 2020;1:45 PM;1,626
Jan 1, 2020;2:00 PM;1,618
Jan 1, 2020;2:15 PM;1,614
Jan 1, 2020;2:30 PM;1,607
Jan 1, 2020;2:45 PM;1,613
Jan 1, 2020;3:00 PM;1,623
Jan 1, 2020;3:15 PM;1,624
Jan 1, 2020;3:30 PM;1,632
Jan 1, 2020;3:45 PM;1,653
Jan 1, 2020;4:00 PM;1,681
Jan 1, 2020;4:15 PM;1,706
Jan 1, 2020;4:30 PM;1,761
Jan 1, 2020;4:45 PM;1,795
Jan 1, 2020;5:00 PM;1,834
Jan 1, 2020;5:15 PM;1,847
Jan 1, 2020;5:30 PM;1,855
Jan 1, 2020;5:45 PM;1,863
Jan 1, 2020;6:00 PM;1,866
Jan 1, 2020;6:15 PM;1,860
Jan 1, 2020;6:30 PM;1,860
Jan 1, 2020;6:45 PM;1,843
Jan 1, 2020;7:00 PM;1,827
Jan 1, 2020;7:15 PM;1,827
Jan 1, 2020;7:30 PM;1,812
Jan 1, 2020;7:45 PM;1,793
Jan 1, 2020;8:00 PM;1,751
Jan 1, 2020;8:15 PM;1,738
Jan 1, 2020;8:30 PM;1,715
Jan 1, 2020;8:45 PM;1,697
Jan 1, 2020;9:00 PM;1,669
Jan 1, 2020;9:15 PM;1,643
Jan 1, 2020;9:30 PM;1,618
Jan 1, 2020;9:45 PM;1,609
Jan 1, 2020;10:00 PM;1,653
Jan 1, 2020;10:15 PM;1,641
Jan 1, 2020;10:30 PM;1,602
Jan 1, 2020;10:45 PM;1,577
Jan 1, 2020;11:00 PM;1,565
Jan 1, 2020;11:15 PM;1,535
Jan 1, 2020;11:30 PM;1,507
Jan 1, 2020;11:45 PM;1,491
Jan 2, 2020;12:00 AM;1,493
Jan 2, 2020;12:15 AM;1,460
Jan 2, 2020;12:30 AM;1,440
Jan 2, 2020;12:45 AM;1,416
Jan 2, 2020;1:00 AM;1,418
Jan 2, 2020;1:15 AM;1,398
Jan 2, 2020;1:30 AM;1,386
Jan 2, 2020;1:45 AM;1,372
Jan 2, 2020;2:00 AM;1,387
Jan 2, 2020;2:15 AM;1,377
Jan 2, 2020;2:30 AM;1,364
Jan 2, 2020;2:45 AM;1,353
Jan 2, 2020;3:00 AM;1,355
