date,cons
13/09/2015,947159
14/09/2015,1120597
15/09/2015,1161838
16/09/2015,1184460
17/09/2015,1178514
18/09/2015,1156712
19/09/2015,1022438
20/09/2015,957539
21/09/2015,1137316
22/09/2015,1178826
23/09/2015,1189109
24/09/2015,1194318
25/09/2015,1169097
26/09/2015,1036448
27/09/2015,976258
28/09/2015,1157024
29/09/2015,1193557
30/09/2015,1200092
,
01/10/2015,1212498
02/10/2015,1206882
03/10/2015,1071207
04/10/2015,1015935
05/10/2015,1193226
06/10/2015,1198931
07/10/2015,1210046
08/10/2015,1218492
09/10/2015,1217269
10/10/2015,1093278
11/10/2015,1033489
12/10/2015,1239283
13/10/2015,1309762
14/10/2015,1390208
15/10/2015,1453405
16/10/2015,1465513
17/10/2015,1284195
18/10/2015,1194162
19/10/2015,1371806
20/10/2015,1395314
21/10/2015,1413064
22/10/2015,1395610
23/10/2015,1344922
24/10/2015,1200562
25/10/2015,1161690
26/10/2015,1298120
27/10/2015,1305887
28/10/2015,1315457
29/10/2015,1333332
30/10/2015,1308915
31/10/2015,1167567
,
01/11/2015,1112850
02/11/2015,1335096
03/11/2015,1366606
04/11/2015,1337721
05/11/2015,1318699
06/11/2015,1281906
07/11/2015,1115314
08/11/2015,1056247
09/11/2015,1231649
10/11/2015,1284052
11/11/2015,1168517
12/11/2015,1323083
13/11/2015,1344268
14/11/2015,1248965
15/11/2015,1167474
16/11/2015,1349957
17/11/2015,1369127
18/11/2015,1338788
19/11/2015,1350597
20/11/2015,1362691
21/11/2015,1348300
22/11/2015,1391769
23/11/2015,1638203
24/11/2015,1729815
25/11/2015,1638546
26/11/2015,1614431
27/11/2015,1642762
28/11/2015,1505984
29/11/2015,1410344
30/11/2015,1528405
,
01/12/2015,1524750
02/12/2015,1552390
03/12/2015,1595070
04/12/2015,1553636
05/12/2015,1446022
06/12/2015,1337925
07/12/2015,1474115
08/12/2015,1523595
09/12/2015,1554323
10/12/2015,1660067
11/12/2015,1633742
12/12/2015,1445221
13/12/2015,1422257
14/12/2015,1602609
15/12/2015,1582860
16/12/2015,1515148
17/12/2015,1472029
18/12/2015,1437292
19/12/2015,1300446
20/12/2015,1244971
21/12/2015,1397459
22/12/2015,1410246
23/12/2015,1385522
24/12/2015,1314405
25/12/2015,1161725
26/12/2015,1218747
27/12/2015,1227871
28/12/2015,1367596
29/12/2015,1376368
30/12/2015,1403050
31/12/2015,1369881
01/01/2016,1292129
02/01/2016,1334605
03/01/2016,1364727
04/01/2016,1549812
05/01/2016,1618324
06/01/2016,1635632
07/01/2016,1628148
08/01/2016,1605797
09/01/2016,1428513
10/01/2016,1394005
11/01/2016,1597020
12/01/2016,1665748
13/01/2016,1722174
14/01/2016,1744715
15/01/2016,1793973
16/01/2016,1687962
17/01/2016,1638701
18/01/2016,1882366
19/01/2016,1897201
20/01/2016,1885390
21/01/2016,1891380
22/01/2016,1854655
23/01/2016,1570910
24/01/2016,1463807
25/01/2016,1598160
26/01/2016,1588794
27/01/2016,1582001
28/01/2016,1579877
29/01/2016,1602146
30/01/2016,1471939
31/01/2016,1359342
,
01/02/2016,1485737
02/02/2016,1515434
03/02/2016,1593962
04/02/2016,1669452
05/02/2016,1562840
06/02/2016,1405608
07/02/2016,1360142
08/02/2016,1562887
09/02/2016,1615655
10/02/2016,1687922
11/02/2016,1689700
12/02/2016,1696313
13/02/2016,1508237
14/02/2016,1421922
15/02/2016,1699320
16/02/2016,1769150
17/02/2016,1807963
18/02/2016,1803908
19/02/2016,1731199
20/02/2016,1537718
21/02/2016,1349873
22/02/2016,1521597
23/02/2016,1559775
24/02/2016,1614643
