date,hour,value
20150101,1,23671.311
20150101,2,22813.154
20150101,3,21949.068
20150101,4,20840.374
20150101,5,20157.059
20150101,6,20037.457
20150101,7,20982.522
20150101,8,21780.331
20150101,9,22190.639
20150101,10,23363.524
20150101,11,24369.152
20150101,12,25206.333
20150101,13,25749.684
20150101,14,24534.389
20150101,15,23560.283
20150101,16,24036.335
20150101,17,25825.285
20150101,18,29478.352
20150101,19,30582.605
20150101,20,30749.984
20150101,21,30129.248
20150101,22,28573.903
20150101,23,26816.769
20150101,24,24365.269
20150102,1,22668.331
20150102,2,21568.881
20150102,3,20470.998
20150102,4,19919.194
20150102,5,20139.356
20150102,6,21203.236
20150102,7,24148.926
20150102,8,28033.648
20150102,9,30422.664
20150102,10,32400.486
20150102,11,32315.172
20150102,12,32456.52
20150102,13,31652.378
20150102,14,30906.988
20150102,15,31213.298
20150102,16,31626.233
20150102,17,33548.015
20150102,18,36985.306
20150102,19,37223.737
20150102,20,36734.881
20150102,21,34789.68
20150102,22,31996.991
20150102,23,28975.782
20150102,24,26092.96
20150103,1,23513.754
20150103,2,21883.726
20150103,3,20787.783
20150103,4,20227.512
20150103,5,20575.433
20150103,6,21041.693
20150103,7,23140.097
20150103,8,25834.345
20150103,9,27985.98
20150103,10,30093.02
20150103,11,30382.627
20150103,12,30553.112
20150103,13,29880.442
20150103,14,28799.688
20150103,15,28935.752
20150103,16,29221.668
20150103,17,30973.417
20150103,18,34344.775
20150103,19,35056.458
20150103,20,34842.246
20150103,21,33096.607
20150103,22,30690.2
20150103,23,28221.292
20150103,24,25817.352
20150104,1,23210.469
20150104,2,21666.855
20150104,3,20786.152
20150104,4,20482.308
20150104,5,20151.078
20150104,6,20409.433
20150104,7,21275.492
20150104,8,22803.191
20150104,9,24089.964
20150104,10,26322.192
20150104,11,27148.037
20150104,12,27795.658
20150104,13,27849.892
20150104,14,26467.186
20150104,15,26046.998
20150104,16,26068.016
20150104,17,27366.833
20150104,18,31310.149
20150104,19,31930.473
20150104,20,32017.027
20150104,21,31344.988
20150104,22,29622.149
20150104,23,27204.678
20150104,24,24575.225
20150105,1,22331.013
20150105,2,21339.993
20150105,3,20256.669
20150105,4,19837.756
20150105,5,20057.413
20150105,6,21039.363
20150105,7,23972.353
20150105,8,27989.048
20150105,9,30444.714
20150105,10,32212.695
20150105,11,32141.707
20150105,12,32038.508
20150105,13,31607.476
20150105,14,30649.176
20150105,15,31072.715
20150105,16,31752.581
20150105,17,33297.657
20150105,18,37009.681
20150105,19,37270.789
20150105,20,36890.403
20150105,21,34935.594
20150105,22,32415.525
20150105,23,29177.967
20150105,24,25934.461
20150106,1,23293.561
20150106,2,21922.715
20150106,3,20723.725
20150106,4,20235.887
20150106,5,20070.398
20150106,6,20696.219
20150106,7,22413.465
20150106,8,23764.81
20150106,9,24913.613
20150106,10,26490.648
20150106,11,27275.953
20150106,12,27833.876
20150106,13,27697.789
20150106,14,26173.098
20150106,15,25357.939
20150106,16,25634.771
20150106,17,27162.103
20150106,18,30935.592
20150106,19,32250.185
20150106,20,33415.744
20150106,21,32416.831
20150106,22,30622.612
20150106,23,28202.895
20150106,24,25356.055
20150107,1,23735.347
20150107,2,21849.14
20150107,3,21482.334
20150107,4,20791.145
20150107,5,21095.835
20150107,6,22982.494
20150107,7,27980.539
20150107,8,34405.19
20150107,9,38337.654
20150107,10,39757.036
20150107,11,39200.426
20150107,12,38591.627
20150107,13,36842.021
20150107,14,36053.557
20150107,15,38090.995
20150107,16,38795.092
20150107,17,40127.707
20150107,18,43203.654
20150107,19,42733.253
20150107,20,41819.843
20150107,21,39529.618
20150107,22,36702.758
20150107,23,32900.595
20150107,24,29522.213
20150108,1,26517.359
20150108,2,24721.861
20150108,3,24012.886
20150108,4,23695.794
20150108,5,23872.391
20150108,6,25587.399
20150108,7,30035.456
20150108,8,36134.812
20150108,9,40350.145
20150108,10,41635.69
20150108,11,41049.643
20150108,12,40511.814
20150108,13,37910.578
20150108,14,37850.863
20150108,15,39064.068
20150108,16,38889.857
20150108,17,40648.449
20150108,18,43527.172
20150108,19,43146.808
20150108,20,42072.171
20150108,21,40176.939
20150108,22,36942.818
20150108,23,33121.813
20150108,24,29769.385
20150109,1,26741.683
20150109,2,25431.772
20150109,3,24782.899
20150109,4,24520.014
20150109,5,24836.551
20150109,6,26572.277
20150109,7,31521.389
20150109,8,37535.453
20150109,9,41747.358
20150109,10,43178.79
20150109,11,42590.969
20150109,12,42338.901
20150109,13,40022.985
20150109,14,38599.115
20150109,15,39870.313
20150109,16,40224.644
20150109,17,42186.988
20150109,18,44672.471
20150109,19,44551.711
20150109,20,43266.872
20150109,21,40636.124
20150109,22,37133.232
20150109,23,33204.047
20150109,24,29723.25
20150110,1,26998.965
20150110,2,25493.962
20150110,3,24752.519
20150110,4,24124.072
20150110,5,24277.028
20150110,6,24973.681
20150110,7,27568.355
20150110,8,31123.409
20150110,9,33847.069
20150110,10,35181.484
20150110,11,34426.577
20150110,12,33976.98
20150110,13,32421.395
20150110,14,30647.997
20150110,15,30185.891
20150110,16,30751.099
20150110,17,32625.816
20150110,18,36502.337
20150110,19,37625.763
20150110,20,37407.403
20150110,21,35677.061
20150110,22,32530.629
20150110,23,29864.492
20150110,24,27283.416
20150111,1,25293.515
20150111,2,23556.435
20150111,3,22710.326
20150111,4,22300.958
20150111,5,22321.432
20150111,6,22738.45
20150111,7,23689.697
20150111,8,25167.358
20150111,9,26689.114
20150111,10,28719.973
20150111,11,29212.249
20150111,12,29611.287
20150111,13,29594.85
20150111,14,27848.434
20150111,15,27319.537
20150111,16,27445.887
20150111,17,28740.112
20150111,18,32616.634
20150111,19,34080.553
20150111,20,34856.725
20150111,21,33945.571
20150111,22,31596.543
20150111,23,29074.943
20150111,24,26443.772
20150112,1,24439.623
20150112,2,23318.11
20150112,3,22817.864
20150112,4,22636.03
20150112,5,23051.528
20150112,6,24835.42
20150112,7,29773.284
20150112,8,36339.107
20150112,9,40741.229
20150112,10,42170.163
20150112,11,41300.221
20150112,12,41205.892
20150112,13,38904.714
20150112,14,38090.084
20150112,15,39648.511
20150112,16,40326.833
20150112,17,42342.587
20150112,18,44635.293
20150112,19,44275.408
20150112,20,43368.015
20150112,21,40974.338
20150112,22,37809.949
20150112,23,33731.926
20150112,24,30173.258
20150113,1,27493.348
20150113,2,25997.425
20150113,3,25222.852
20150113,4,24985.852
20150113,5,25337.548
20150113,6,27129.454
20150113,7,31996.944
20150113,8,38494.942
20150113,9,43202.692
20150113,10,44407.335
20150113,11,43596.031
20150113,12,43473.79
20150113,13,40799.3
20150113,14,39725.414
20150113,15,41301.654
20150113,16,41876.97
20150113,17,43672.313
20150113,18,45857.91
20150113,19,45713.303
20150113,20,44315.69
20150113,21,41816.635
20150113,22,38450.736
20150113,23,34315.814
20150113,24,30574.71
20150114,1,27289.988
20150114,2,26053.571
20150114,3,25300.777
20150114,4,25222.58
20150114,5,26021.942
20150114,6,27545.118
20150114,7,32154.867
20150114,8,38399.111
20150114,9,43032.751
20150114,10,43953.362
20150114,11,43443.871
20150114,12,42571.188
20150114,13,40123.689
20150114,14,39130.856
20150114,15,40465.439
20150114,16,41213.506
20150114,17,42731.289
20150114,18,45198.825
20150114,19,45125.497
20150114,20,43563.087
20150114,21,40928.532
20150114,22,37661.205
20150114,23,33374.446
20150114,24,29976.217
20150115,1,27464.875
20150115,2,25919.817
20150115,3,25198.064
20150115,4,25055.148
20150115,5,25430.657
20150115,6,27004.695
20150115,7,31770.578
20150115,8,38042.267
20150115,9,42371.413
20150115,10,43935.273
20150115,11,43624.363
20150115,12,42703.699
20150115,13,40068.546
20150115,14,39410.788
20150115,15,40327.862
20150115,16,41369.482
20150115,17,42796.91
20150115,18,45157.498
20150115,19,45177.24
20150115,20,43919.487
20150115,21,41241.706
20150115,22,38269.227
20150115,23,34228.125
20150115,24,30621.552
20150116,1,27958.889
20150116,2,26579.627
20150116,3,25769.96
20150116,4,25540.959
20150116,5,25813.608
20150116,6,27031.142
20150116,7,31309.792
20150116,8,37633.494
20150116,9,42318.96
20150116,10,43713.178
20150116,11,43352.371
20150116,12,42641.747
20150116,13,39855.126
20150116,14,39354.1
20150116,15,40230.007
20150116,16,40862.762
20150116,17,41552.379
20150116,18,43876.837
20150116,19,43955.104
20150116,20,42552.821
20150116,21,40132.049
20150116,22,37114.772
20150116,23,33351.88
20150116,24,29910.175
20150117,1,27266.464
20150117,2,26068.544
20150117,3,25131.396
20150117,4,24869.081
20150117,5,24900.45
20150117,6,25371.237
20150117,7,27458.868
20150117,8,31107.803
20150117,9,33861.082
20150117,10,35416.524
20150117,11,35280.535
20150117,12,34212.289
20150117,13,33065.295
20150117,14,31497.026
20150117,15,30978.304
20150117,16,31299.91
20150117,17,32528.211
20150117,18,36552.502
20150117,19,38405.392
20150117,20,37886.199
20150117,21,35876.518
20150117,22,33206.233
20150117,23,29531.573
20150117,24,27468.681
20150118,1,25435.151
20150118,2,23764.776
20150118,3,22824.038
20150118,4,22470.768
20150118,5,22747.541
20150118,6,22773.587
20150118,7,24030.745
20150118,8,25614.78
20150118,9,27018.393
20150118,10,28901.862
20150118,11,29775.726
20150118,12,30000.391
20150118,13,29563.409
20150118,14,27898.152
20150118,15,27176.163
20150118,16,28164.795
20150118,17,28736.117
20150118,18,32489.585
20150118,19,34511.511
20150118,20,34736.402
20150118,21,34012.216
20150118,22,32293.495
20150118,23,29051.568
20150118,24,26458.825
20150119,1,23964.456
20150119,2,22735.53
20150119,3,21958.413
20150119,4,21852.176
20150119,5,22780.016
20150119,6,24517.894
20150119,7,30065.995
20150119,8,36681.484
20150119,9,41122.668
20150119,10,41990.012
20150119,11,41872.215
20150119,12,41328.629
20150119,13,39204.024
20150119,14,38796.021
20150119,15,39594.533
20150119,16,40756.983
20150119,17,41272.526
20150119,18,44657.94
20150119,19,45158.358
20150119,20,43799.795
20150119,21,41829.843
20150119,22,38573.806
20150119,23,33623.314
20150119,24,30057.068
20150120,1,27441.008
20150120,2,26089.872
20150120,3,25373.164
20150120,4,25452.149
20150120,5,25609.21
20150120,6,26771.336
20150120,7,31350.234
20150120,8,38134.235
20150120,9,42973.05
20150120,10,43755.237
20150120,11,43451.23
20150120,12,42255.844
20150120,13,39732.405
20150120,14,39116.041
20150120,15,40359.618
20150120,16,41765.827
20150120,17,42275.005
20150120,18,45234.285
20150120,19,45965.948
20150120,20,44235.306
20150120,21,41347.577
20150120,22,38417.414
20150120,23,33545.248
20150120,24,30012.025
20150121,1,28097.127
20150121,2,26517.522
20150121,3,25017.202
20150121,4,25243.447
20150121,5,25904.979
20150121,6,26909.002
20150121,7,31622.638
20150121,8,38345.506
20150121,9,42954.653
20150121,10,43173.033
20150121,11,44105.177
20150121,12,43121.928
20150121,13,40742.945
20150121,14,40089.031
20150121,15,41275.762
20150121,16,42312.702
20150121,17,42019.936
20150121,18,45454.612
20150121,19,45936.331
20150121,20,43984.599
20150121,21,41259.553
20150121,22,38248.871
20150121,23,33729.39
20150121,24,30084.278
20150122,1,28048.679
20150122,2,26842.799
20150122,3,25784.85
20150122,4,25556.054
20150122,5,25722.15
20150122,6,26891.903
20150122,7,31526.059
20150122,8,38870.6
20150122,9,42518.59
20150122,10,43289.692
20150122,11,44556.191
20150122,12,43363.463
20150122,13,41477.697
20150122,14,40285.103
20150122,15,41045.512
20150122,16,42029.449
20150122,17,42299.286
20150122,18,44918.241
20150122,19,45673.909
20150122,20,44076.415
20150122,21,41309.953
20150122,22,38504.408
20150122,23,34282.438
20150122,24,30503.609
20150123,1,28344.119
20150123,2,27066.584
20150123,3,26231.904
20150123,4,25656.666
20150123,5,25790.716
20150123,6,27239.079
20150123,7,31406.296
20150123,8,38974.927
20150123,9,42932.041
20150123,10,44234.261
20150123,11,45598.729
20150123,12,44810.44
20150123,13,42993.605
20150123,14,41795.778
20150123,15,42325.783
20150123,16,42883.064
20150123,17,42502.273
20150123,18,46008.034
20150123,19,45093.386
20150123,20,44293.765
20150123,21,40827.177
20150123,22,37818.602
20150123,23,33898.119
20150123,24,30722.025
20150124,1,27987.228
20150124,2,26305.557
20150124,3,25368.384
20150124,4,24862.318
20150124,5,24770.367
20150124,6,25154.953
20150124,7,27438.964
20150124,8,31379.469
20150124,9,34152.85
20150124,10,36076.138
20150124,11,36026.58
20150124,12,34914.415
20150124,13,33481.11
20150124,14,32104.085
20150124,15,31481.374
20150124,16,31632.291
20150124,17,31814.072
20150124,18,36724.609
20150124,19,37607.07
20150124,20,38291.568
20150124,21,35746.022
20150124,22,33162.247
20150124,23,30417.403
20150124,24,28057.857
20150125,1,25782.516
20150125,2,23966.748
20150125,3,23051.98
20150125,4,22661.822
20150125,5,22537.498
20150125,6,22723.83
20150125,7,23588.837
20150125,8,25318.86
20150125,9,26554.817
20150125,10,28940.923
20150125,11,30104.727
20150125,12,30668.623
20150125,13,30442.168
20150125,14,29031.994
20150125,15,28439.156
20150125,16,28426.255
20150125,17,28354.006
20150125,18,32105.487
20150125,19,34142.077
20150125,20,34985.596
20150125,21,33909.673
20150125,22,32320.883
20150125,23,29639.534
20150125,24,27552.921
20150126,1,24586.166
20150126,2,23254.274
20150126,3,22687.964
20150126,4,22645.374
20150126,5,23101.041
