date,hour,value
20180101,1,23575
20180101,2,22392
20180101,3,21344
20180101,4,20549
20180101,5,20183
20180101,6,20418
20180101,7,21686
20180101,8,22781
20180101,9,23065
20180101,10,24128
20180101,11,24984
20180101,12,25581
20180101,13,25632
20180101,14,24457
20180101,15,24086
20180101,16,24391
20180101,17,25900
20180101,18,29692
20180101,19,31027
20180101,20,31596
20180101,21,30819
20180101,22,29601
20180101,23,27336
20180101,24,25097
20180102,1,22780
20180102,2,21580
20180102,3,21264
20180102,4,21027
20180102,5,21060
20180102,6,22645
20180102,7,26547
20180102,8,31506
20180102,9,34676
20180102,10,36129
20180102,11,36132
20180102,12,35622
20180102,13,34279
20180102,14,33650
20180102,15,34359
20180102,16,35219
20180102,17,37026
20180102,18,40083
20180102,19,40385
20180102,20,39485
20180102,21,37049
20180102,22,34395
20180102,23,31199
20180102,24,27826
20180103,1,25182
20180103,2,23699
20180103,3,23018
20180103,4,22685
20180103,5,23067
20180103,6,24501
20180103,7,28211
20180103,8,32815
20180103,9,36044
20180103,10,37354
20180103,11,37382
20180103,12,37253
20180103,13,35508
20180103,14,34882
20180103,15,35566
20180103,16,36565
20180103,17,37957
20180103,18,40583
20180103,19,40987
20180103,20,40085
20180103,21,37870
20180103,22,34939
20180103,23,31642
20180103,24,28303
20180104,1,26211
20180104,2,24455
20180104,3,23722
20180104,4,23469
20180104,5,23488
20180104,6,24675
20180104,7,28047
20180104,8,32619
20180104,9,36239
20180104,10,37489
20180104,11,37392
20180104,12,37004
20180104,13,35508
20180104,14,34690
20180104,15,35177
20180104,16,36135
20180104,17,37386
20180104,18,40697
20180104,19,40767
20180104,20,39848
20180104,21,37499
20180104,22,34375
20180104,23,31531
20180104,24,28541
20180105,1,25705
20180105,2,24102
20180105,3,23337
20180105,4,23081
20180105,5,23105
20180105,6,24309
20180105,7,27937
20180105,8,32682
20180105,9,35835
20180105,10,37261
20180105,11,37253
20180105,12,37004
20180105,13,35538
20180105,14,34628
20180105,15,35424
20180105,16,36190
20180105,17,37297
20180105,18,40224
20180105,19,40564
20180105,20,39840
20180105,21,37641
20180105,22,34337
20180105,23,31340
20180105,24,28202
20180106,1,25611
20180106,2,24058
20180106,3,22977
20180106,4,22527
20180106,5,22221
20180106,6,22512
20180106,7,23426
20180106,8,24448
20180106,9,25503
20180106,10,27533
20180106,11,28647
20180106,12,28967
20180106,13,28721
20180106,14,27177
20180106,15,26695
20180106,16,27114
20180106,17,28213
20180106,18,32026
20180106,19,33149
20180106,20,33413
20180106,21,32308
20180106,22,30670
20180106,23,28765
20180106,24,26383
20180107,1,24050
20180107,2,22383
20180107,3,21394
20180107,4,20931
20180107,5,20774
20180107,6,21456
20180107,7,22644
20180107,8,24216
20180107,9,25730
20180107,10,27728
20180107,11,28570
20180107,12,29053
20180107,13,28707
20180107,14,27356
20180107,15,26939
20180107,16,27227
20180107,17,28395
20180107,18,31536
20180107,19,32819
20180107,20,33269
20180107,21,32325
20180107,22,30825
20180107,23,28656
20180107,24,25960
20180108,1,23857
20180108,2,22488
20180108,3,21906
20180108,4,21747
20180108,5,22144
20180108,6,23980
20180108,7,29203
20180108,8,35291
20180108,9,39816
20180108,10,41667
20180108,11,41632
20180108,12,41775
20180108,13,40023
20180108,14,39791
20180108,15,41044
20180108,16,41535
20180108,17,42630
20180108,18,44522
20180108,19,44054
20180108,20,43080
20180108,21,40765
20180108,22,37786
20180108,23,34152
20180108,24,30781
20180109,1,28639
20180109,2,26778
20180109,3,25875
20180109,4,25702
20180109,5,25813
20180109,6,27481
20180109,7,32298
20180109,8,38436
20180109,9,42633
20180109,10,44386
20180109,11,44174
20180109,12,44068
20180109,13,41824
20180109,14,41494
20180109,15,42417
20180109,16,43129
20180109,17,44198
20180109,18,46164
20180109,19,45725
20180109,20,44415
20180109,21,41634
20180109,22,38580
20180109,23,34777
20180109,24,31432
20180110,1,28624
20180110,2,27217
20180110,3,26494
20180110,4,26196
20180110,5,26261
20180110,6,27662
20180110,7,32461
20180110,8,38389
20180110,9,42554
20180110,10,44290
20180110,11,44121
20180110,12,43509
20180110,13,41215
20180110,14,40705
20180110,15,41955
20180110,16,43236
20180110,17,44207
20180110,18,46640
20180110,19,45857
20180110,20,44241
20180110,21,41614
20180110,22,38389
20180110,23,34588
20180110,24,31336
20180111,1,28738
20180111,2,26916
20180111,3,26305
20180111,4,26159
20180111,5,26258
20180111,6,27709
20180111,7,32571
20180111,8,38336
20180111,9,42861
20180111,10,44453
20180111,11,44059
20180111,12,43719
20180111,13,41552
20180111,14,41059
20180111,15,42325
20180111,16,43185
20180111,17,44106
20180111,18,46052
20180111,19,45852
20180111,20,44417
20180111,21,41705
20180111,22,38677
20180111,23,34678
20180111,24,31500
20180112,1,28903
20180112,2,27233
20180112,3,26575
20180112,4,26562
20180112,5,26667
20180112,6,28014
20180112,7,32823
20180112,8,38702
20180112,9,43326
20180112,10,44955
20180112,11,44606
20180112,12,44123
20180112,13,41937
20180112,14,41290
20180112,15,42122
20180112,16,42856
20180112,17,43710
20180112,18,46302
20180112,19,46007
20180112,20,44411
20180112,21,41787
20180112,22,38348
20180112,23,34412
20180112,24,31450
20180113,1,28854
20180113,2,26886
20180113,3,26053
20180113,4,25842
20180113,5,25727
20180113,6,26228
20180113,7,28653
20180113,8,32122
20180113,9,34801
20180113,10,36441
20180113,11,36269
20180113,12,35417
20180113,13,33671
20180113,14,32264
20180113,15,32346
20180113,16,32836
20180113,17,34154
20180113,18,37568
20180113,19,38975
20180113,20,38932
20180113,21,36785
20180113,22,34059
20180113,23,31387
20180113,24,28720
20180114,1,26409
20180114,2,25266
20180114,3,24165
20180114,4,23858
20180114,5,23417
20180114,6,23577
20180114,7,24414
20180114,8,25740
20180114,9,27419
20180114,10,29607
20180114,11,30494
20180114,12,30818
20180114,13,30602
20180114,14,29022
20180114,15,28772
20180114,16,29217
20180114,17,30136
20180114,18,33185
20180114,19,35065
20180114,20,35541
20180114,21,34613
20180114,22,33078
20180114,23,30412
20180114,24,27580
20180115,1,25488
20180115,2,24589
20180115,3,23844
20180115,4,23787
20180115,5,23765
20180115,6,26094
20180115,7,31363
20180115,8,37493
20180115,9,41872
20180115,10,43644
20180115,11,43408
20180115,12,43049
20180115,13,41452
20180115,14,41391
20180115,15,42243
20180115,16,43201
20180115,17,44154
20180115,18,46081
20180115,19,45742
20180115,20,44121
20180115,21,41714
