date,hour,value
20160101,1,24504
20160101,2,23168
20160101,3,22046
20160101,4,20808
20160101,5,19861
20160101,6,19841
20160101,7,20993
20160101,8,21618
20160101,9,21930
20160101,10,22744
20160101,11,24544
20160101,12,25082
20160101,13,25603
20160101,14,24219
20160101,15,23210
20160101,16,24139
20160101,17,25060
20160101,18,29111
20160101,19,30447
20160101,20,30369
20160101,21,29881
20160101,22,28706
20160101,23,27167
20160101,24,24710
20160102,1,23685
20160102,2,21280
20160102,3,20646
20160102,4,20273
20160102,5,20129
20160102,6,20893
20160102,7,23458
20160102,8,26027
20160102,9,27742
20160102,10,29218
20160102,11,29826
20160102,12,29719
20160102,13,29390
20160102,14,28525
20160102,15,28190
20160102,16,29029
20160102,17,30094
20160102,18,33590
20160102,19,34239
20160102,20,34398
20160102,21,33019
20160102,22,30857
20160102,23,28892
20160102,24,25842
20160103,1,23522
20160103,2,21496
20160103,3,20861
20160103,4,20249
20160103,5,19810
20160103,6,20207
20160103,7,21719
20160103,8,22816
20160103,9,23955
20160103,10,25550
20160103,11,27257
20160103,12,27405
20160103,13,27420
20160103,14,26223
20160103,15,25623
20160103,16,25902
20160103,17,27320
20160103,18,31185
20160103,19,32525
20160103,20,31989
20160103,21,31485
20160103,22,29989
20160103,23,27768
20160103,24,25001
20160104,1,22468
20160104,2,21111
20160104,3,20457
20160104,4,20102
20160104,5,20019
20160104,6,21898
20160104,7,26263
20160104,8,31443
20160104,9,33738
20160104,10,34728
20160104,11,35245
20160104,12,34669
20160104,13,33800
20160104,14,32857
20160104,15,33224
20160104,16,34382
20160104,17,35284
20160104,18,38947
20160104,19,39309
20160104,20,37741
20160104,21,36136
20160104,22,33416
20160104,23,30372
20160104,24,27156
20160105,1,24143
20160105,2,22629
20160105,3,21741
20160105,4,21564
20160105,5,21678
20160105,6,23092
20160105,7,26938
20160105,8,31939
20160105,9,34206
20160105,10,35100
20160105,11,35620
20160105,12,35003
20160105,13,34193
20160105,14,33109
20160105,15,33604
20160105,16,34702
20160105,17,36142
20160105,18,38981
20160105,19,39479
20160105,20,38363
20160105,21,36427
20160105,22,33984
20160105,23,30721
20160105,24,27250
20160106,1,24832
20160106,2,22691
20160106,3,21727
20160106,4,21235
20160106,5,20877
20160106,6,21412
20160106,7,23749
20160106,8,25443
20160106,9,26575
20160106,10,28056
20160106,11,29543
20160106,12,29557
20160106,13,29237
20160106,14,28008
20160106,15,27510
20160106,16,27876
20160106,17,29573
20160106,18,33164
20160106,19,34231
20160106,20,34193
20160106,21,33982
20160106,22,31831
20160106,23,29867
20160106,24,26772
20160107,1,25048
20160107,2,23616
20160107,3,22993
20160107,4,22857
20160107,5,23173
20160107,6,24331
20160107,7,29307
20160107,8,34998
20160107,9,38586
20160107,10,39880
20160107,11,40280
20160107,12,40165
20160107,13,38724
20160107,14,38097
20160107,15,38699
20160107,16,39517
20160107,17,40614
20160107,18,43865
20160107,19,43707
20160107,20,42721
20160107,21,40342
20160107,22,37021
20160107,23,33943
20160107,24,30339
20160108,1,27420
20160108,2,26088
20160108,3,25063
20160108,4,24416
20160108,5,24548
20160108,6,25898
20160108,7,30289
20160108,8,35849
20160108,9,39384
20160108,10,40899
20160108,11,40996
20160108,12,40474
20160108,13,38434
20160108,14,37587
20160108,15,39114
20160108,16,39838
20160108,17,41085
20160108,18,44050
20160108,19,44002
20160108,20,42288
20160108,21,40070
20160108,22,36288
20160108,23,33460
20160108,24,30122
20160109,1,27541
20160109,2,25880
20160109,3,24693
20160109,4,24277
20160109,5,24220
20160109,6,24469
20160109,7,26794
20160109,8,30472
20160109,9,33166
20160109,10,34448
20160109,11,34618
20160109,12,34117
20160109,13,32410
20160109,14,30984
20160109,15,30727
20160109,16,31017
20160109,17,32219
20160109,18,36643
20160109,19,37606
20160109,20,37307
20160109,21,35701
20160109,22,31835
20160109,23,30329
20160109,24,27087
20160110,1,24895
20160110,2,22954
20160110,3,22111
20160110,4,21467
20160110,5,21325
20160110,6,21685
20160110,7,22684
20160110,8,24142
20160110,9,25931
20160110,10,27320
20160110,11,29130
20160110,12,29059
20160110,13,28676
20160110,14,27523
20160110,15,26860
20160110,16,26927
20160110,17,28027
20160110,18,32519
20160110,19,33500
20160110,20,33667
20160110,21,33124
