date,hour,value
20170111,14,42237.578
20170111,15,43705.893
20170111,16,44653.257
20170111,17,46023.882
20170111,18,48067.063
20170111,19,47654.972
20170111,20,46318.805
20170111,21,43395.377
20170111,22,40161.153
20170111,23,36323.858
20170111,24,32154.485
20170112,1,29401.627
20170112,2,27663.359
20170112,3,26433.901
20170112,4,26135.84
20170112,5,26090.636
20170112,6,28116.121
20170112,7,33749.905
20170112,8,40663.662
20170112,9,44617.123
20170112,10,45681.134
20170112,11,45199.956
20170112,12,44963.365
20170112,13,42763.251
20170112,14,41950.655
20170112,15,43484.103
20170112,16,44220.604
20170112,17,45417.848
20170112,18,46346.589
20170112,19,46990.85
20170112,20,45930.998
20170112,21,43659.134
20170112,22,40583.358
20170112,23,36397.561
20170112,24,31734.403
20170113,1,29479.148
20170113,2,27462.452
20170113,3,26819.051
20170113,4,26629.494
20170113,5,26632.83
20170113,6,28040.603
20170113,7,32577.144
20170113,8,39328.761
20170113,9,43694.407
20170113,10,45081.549
20170113,11,44509.518
20170113,12,43363.589
20170113,13,41653.481
20170113,14,40366.536
20170113,15,41740.015
20170113,16,42552.905
20170113,17,43257.552
20170113,18,45883.3
20170113,19,45752.125
20170113,20,44104.512
20170113,21,41303.389
20170113,22,38556.397
20170113,23,34976.567
20170113,24,31291.644
20170114,1,29263.984
20170114,2,27545.171
20170114,3,26444.437
20170114,4,26068.682
20170114,5,25787.02
20170114,6,26512.672
20170114,7,28671.815
20170114,8,32468.724
20170114,9,34951.045
20170114,10,36478.771
20170114,11,36172.674
20170114,12,35201.601
20170114,13,34769.001
20170114,14,33170.718
20170114,15,32103.445
20170114,16,32436.543
20170114,17,34489.392
20170114,18,38084.054
20170114,19,39184.479
20170114,20,39133.081
20170114,21,37187.233
20170114,22,35202.855
20170114,23,32380.246
20170114,24,29756.535
20170115,1,27442.572
20170115,2,26105.205
20170115,3,24776.746
20170115,4,23193.897
20170115,5,22881.858
20170115,6,23260.833
20170115,7,24473.67
20170115,8,25857.541
20170115,9,27427.798
20170115,10,29777.794
20170115,11,30828.874
20170115,12,31416.708
20170115,13,31669.889
20170115,14,30441.119
20170115,15,29866.595
20170115,16,29736.468
20170115,17,30907.364
20170115,18,33866.19
20170115,19,35672.454
20170115,20,36029.35
20170115,21,35286.113
20170115,22,33521.889
20170115,23,31435.672
20170115,24,28618.447
20170116,1,26376.645
20170116,2,24002.886
20170116,3,22888.176
20170116,4,22611.981
20170116,5,23107.879
