date,hour,value
20190101,1,24244
20190101,2,23396
20190101,3,22354
20190101,4,20576
20190101,5,21239
20190101,6,21526
20190101,7,22001
20190101,8,22942
20190101,9,23980
20190101,10,25231
20190101,11,26116
20190101,12,26621
20190101,13,26793
20190101,14,26130
20190101,15,25030
20190101,16,25310
20190101,17,26794
20190101,18,29701
20190101,19,30696
20190101,20,31229
20190101,21,30078
20190101,22,28910
20190101,23,26729
20190101,24,24108
20190102,1,23258
20190102,2,21789
20190102,3,20979
20190102,4,20740
20190102,5,21109
20190102,6,22672
20190102,7,26812
20190102,8,31675
20190102,9,35028
20190102,10,36420
20190102,11,36263
20190102,12,35862
20190102,13,34589
20190102,14,33919
20190102,15,34751
20190102,16,35723
20190102,17,37242
20190102,18,40027
20190102,19,40250
20190102,20,39302
20190102,21,36950
20190102,22,34754
20190102,23,31402
20190102,24,27937
20190103,1,25385
20190103,2,24199
20190103,3,23783
20190103,4,23056
20190103,5,23202
20190103,6,24707
20190103,7,28722
20190103,8,34518
20190103,9,37889
20190103,10,39156
20190103,11,38758
20190103,12,38604
20190103,13,36983
20190103,14,35983
20190103,15,36641
20190103,16,37803
20190103,17,39173
20190103,18,41674
20190103,19,41309
20190103,20,40519
20190103,21,37970
20190103,22,34798
20190103,23,31524
20190103,24,27921
20190104,1,25348
20190104,2,23882
20190104,3,23134
20190104,4,22984
20190104,5,23187
20190104,6,24554
20190104,7,28598
20190104,8,33684
20190104,9,36998
20190104,10,38441
20190104,11,38314
20190104,12,37969
20190104,13,37319
20190104,14,35857
20190104,15,36614
20190104,16,37185
20190104,17,38596
20190104,18,41385
20190104,19,41405
20190104,20,40566
20190104,21,38066
20190104,22,34854
20190104,23,31603
20190104,24,29378
20190105,1,26059
20190105,2,24729
20190105,3,23505
20190105,4,23144
20190105,5,23035
20190105,6,23694
20190105,7,25675
20190105,8,28833
20190105,9,31276
20190105,10,32856
20190105,11,32736
20190105,12,32324
20190105,13,31401
20190105,14,30191
20190105,15,29615
20190105,16,30333
20190105,17,31822
20190105,18,35633
20190105,19,36849
20190105,20,37082
20190105,21,34899
20190105,22,32114
20190105,23,29554
20190105,24,26834
20190106,1,25468
20190106,2,23877
20190106,3,22917
20190106,4,22089
20190106,5,21923
20190106,6,22082
20190106,7,23230
20190106,8,23959
20190106,9,25095
20190106,10,27033
20190106,11,28146
20190106,12,28709
20190106,13,28494
20190106,14,26805
20190106,15,26735
20190106,16,26698
20190106,17,28100
20190106,18,31639
20190106,19,32896
20190106,20,33705
20190106,21,32473
20190106,22,30858
20190106,23,28475
20190106,24,26095
20190107,1,24428
20190107,2,22753
20190107,3,22077
20190107,4,21919
20190107,5,22423
20190107,6,24531
20190107,7,30173
20190107,8,36811
20190107,9,41578
20190107,10,43234
20190107,11,43036
20190107,12,42806
20190107,13,40798
20190107,14,40638
20190107,15,42146
20190107,16,43206
20190107,17,44446
20190107,18,46333
20190107,19,45702
20190107,20,44524
20190107,21,42108
20190107,22,38938
20190107,23,34929
20190107,24,31451
20190108,1,28658
20190108,2,27235
20190108,3,26299
20190108,4,26004
20190108,5,26243
20190108,6,27776
20190108,7,32861
20190108,8,39873
20190108,9,44021
20190108,10,45839
20190108,11,45318
20190108,12,45152
20190108,13,42995
20190108,14,42427
20190108,15,43629
20190108,16,44521
20190108,17,45755
20190108,18,47859
20190108,19,46980
20190108,20,45569
20190108,21,42937
20190108,22,39515
20190108,23,35892
20190108,24,31769
20190109,1,29507
20190109,2,27844
20190109,3,26944
20190109,4,26530
20190109,5,26828
20190109,6,28561
20190109,7,33697
20190109,8,40054
20190109,9,44878
20190109,10,46167
20190109,11,45743
20190109,12,45261
20190109,13,42859
20190109,14,42369
20190109,15,43740
20190109,16,44542
