date,time,value
"Jan 1, 2020",12:00 AM,10696
"Jan 1, 2020",12:15 AM,10594
"Jan 1, 2020",12:30 AM,10526
"Jan 1, 2020",12:45 AM,10520
"Jan 1, 2020",1:00 AM,10434
"Jan 1, 2020",1:15 AM,10300
"Jan 1, 2020",1:30 AM,10253
"Jan 1, 2020",1:45 AM,10200
"Jan 1, 2020",2:00 AM,10162
"Jan 1, 2020",2:15 AM,10110
"Jan 1, 2020",2:30 AM,10078
"Jan 1, 2020",2:45 AM,10049
"Jan 1, 2020",3:00 AM,9836
"Jan 1, 2020",3:15 AM,9728
"Jan 1, 2020",3:30 AM,9691
"Jan 1, 2020",3:45 AM,9664
"Jan 1, 2020",4:00 AM,9777
"Jan 1, 2020",4:15 AM,9704
"Jan 1, 2020",4:30 AM,9701
"Jan 1, 2020",4:45 AM,9697
"Jan 1, 2020",5:00 AM,9869
"Jan 1, 2020",5:15 AM,9789
"Jan 1, 2020",5:30 AM,9788
"Jan 1, 2020",5:45 AM,9717
"Jan 1, 2020",6:00 AM,9415
"Jan 1, 2020",6:15 AM,9361
"Jan 1, 2020",6:30 AM,9353
"Jan 1, 2020",6:45 AM,9382
"Jan 1, 2020",7:00 AM,9451
"Jan 1, 2020",7:15 AM,9503
"Jan 1, 2020",7:30 AM,9466
"Jan 1, 2020",7:45 AM,9473
"Jan 1, 2020",8:00 AM,9552
"Jan 1, 2020",8:15 AM,9613
"Jan 1, 2020",8:30 AM,9686
"Jan 1, 2020",8:45 AM,9828
"Jan 1, 2020",9:00 AM,10020
"Jan 1, 2020",9:15 AM,10182
"Jan 1, 2020",9:30 AM,10334
"Jan 1, 2020",9:45 AM,10555
"Jan 1, 2020",10:00 AM,10618
"Jan 1, 2020",10:15 AM,10716
"Jan 1, 2020",10:30 AM,10821
"Jan 1, 2020",10:45 AM,10940
"Jan 1, 2020",11:00 AM,11136
"Jan 1, 2020",11:15 AM,11284
"Jan 1, 2020",11:30 AM,11395
"Jan 1, 2020",11:45 AM,11434
"Jan 1, 2020",12:00 PM,11607
"Jan 1, 2020",12:15 PM,11638
"Jan 1, 2020",12:30 PM,11612
"Jan 1, 2020",12:45 PM,11642
"Jan 1, 2020",1:00 PM,11612
"Jan 1, 2020",1:15 PM,11571
"Jan 1, 2020",1:30 PM,11595
"Jan 1, 2020",1:45 PM,11550
"Jan 1, 2020",2:00 PM,11387
"Jan 1, 2020",2:15 PM,11330
"Jan 1, 2020",2:30 PM,11190
"Jan 1, 2020",2:45 PM,11208
"Jan 1, 2020",3:00 PM,11305
"Jan 1, 2020",3:15 PM,11248
"Jan 1, 2020",3:30 PM,11242
"Jan 1, 2020",3:45 PM,11244
"Jan 1, 2020",4:00 PM,11427
"Jan 1, 2020",4:15 PM,11630
"Jan 1, 2020",4:30 PM,11945
"Jan 1, 2020",4:45 PM,12312
"Jan 1, 2020",5:00 PM,12659
"Jan 1, 2020",5:15 PM,12746
"Jan 1, 2020",5:30 PM,12883
"Jan 1, 2020",5:45 PM,12907
"Jan 1, 2020",6:00 PM,12988
"Jan 1, 2020",6:15 PM,12950
"Jan 1, 2020",6:30 PM,12967
"Jan 1, 2020",6:45 PM,12850
"Jan 1, 2020",7:00 PM,12892
"Jan 1, 2020",7:15 PM,12707
"Jan 1, 2020",7:30 PM,12621
"Jan 1, 2020",7:45 PM,12512
"Jan 1, 2020",8:00 PM,12368
"Jan 1, 2020",8:15 PM,12219
"Jan 1, 2020",8:30 PM,12079
"Jan 1, 2020",8:45 PM,11926
